0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:15:29 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 3647
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:16:01 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 3646
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:16:56 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=jhfjgj HTTP/1.1" 200 3646
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:16:56 +0530] "GET /LestLearnBootstrap/jquery-3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:16:56 +0530] "GET /LestLearnBootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:16:56 +0530] "GET /LestLearnBootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:16:56 +0530] "GET /LestLearnBootstrap/img/red.png HTTP/1.1" 200 2623518
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:16:56 +0530] "GET /LestLearnBootstrap/img/snow.png HTTP/1.1" 200 2562453
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:16:57 +0530] "GET /LestLearnBootstrap/img/w3newbie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:16:57 +0530] "GET /LestLearnBootstrap/img/mountains.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:16:57 +0530] "GET /LestLearnBootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:22:38 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 3820
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:23:23 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 3844
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:23:50 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=jhfjgj HTTP/1.1" 200 3844
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:23:50 +0530] "GET /LestLearnBootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:23:50 +0530] "GET /LestLearnBootstrap/jquery-3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:23:50 +0530] "GET /LestLearnBootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:23:51 +0530] "GET /LestLearnBootstrap/img/w3newbie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:23:51 +0530] "GET /LestLearnBootstrap/img/mountains.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:23:51 +0530] "GET /LestLearnBootstrap/img/snow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:23:51 +0530] "GET /LestLearnBootstrap/img/red.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:25:25 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 3916
